Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
Transformer,EW,"('next_time',)",0.001,None,123,24.0,1.2322,,1.1854,
Transformer,EW,"('next_time',)",0.0001,None,42,30.0,1.3139,,1.1723,
Transformer,EW,"('next_time',)",0.01,None,42,18.0,2.6822,,2.5443,
Transformer,EW,"('next_time',)",0.001,None,2025,4.0,2.5799,,2.6587,
Transformer,EW,"('next_time',)",0.01,None,2025,4.0,2.5799,,2.6587,
Transformer,EW,"('next_time',)",0.0001,None,123,14.0,1.2441,,1.1981,
Transformer,EW,"('next_time',)",0.01,None,123,31.0,2195.2134,,2195.279,
Transformer,EW,"('next_time',)",0.0001,None,2025,19.0,1.2099,,1.3295,
Transformer,EW,"('remaining_time',)",0.0001,None,123,32.0,6.3813,,,6.6926
Transformer,EW,"('remaining_time',)",0.0001,None,42,18.0,7.2735,,,7.4009
Transformer,EW,"('remaining_time',)",0.001,None,42,3.0,2746853.8578,,,2746853.977
Transformer,EW,"('remaining_time',)",0.0001,None,2025,38.0,6.1177,,,6.2122
Transformer,EW,"('remaining_time',)",0.001,None,123,,,,,
